isco08,isco_name,feor_08,feor_08_name
1111,Törvényhozók,1110,"Törvényhozó, miniszter, államtitkár"
1111,Törvényhozók,1122,Helyi önkormányzat választott vezetője
1112,Országos közigazgatási vezetők,1123,Helyi önkormányzat kinevezett vezetője
1113,Tradicionális helyi vezetők,,
1114,Érdekképviseleti szervezetek vezetői,1131,Társadalmi (érdek-képviseleti) és egyéb szervezet vezetője
1114,Érdekképviseleti szervezetek vezetői,1132,Egyházi vezető
1120,Ügyvezetők és vezérigazgatók,1210,"Gazdasági, költségvetési szervezet vezetője (igazgató, elnök, ügyvezető igazgató)"
1211,Pénzügyi vezetők,1411,Számviteli és pénzügyi tevékenységet folytató egység vezetője
1212,Emberi erőforrás-gazdálkodási vezetők,1412,"Személyzeti vezető, humánpolitikai egység vezetője"
1213,Stratégiai vezetők,1121,"Országos és területi közigazgatás, igazságszolgáltatás vezetője"
1213,Stratégiai vezetők,1414,Vállalati stratégiatervezési egység vezetője
1219,Máshová nem sorolható üzleti és igazgatási vezetők,1419,Egyéb gazdasági tevékenységet segítő egység vezetője
1221,Értékesítési és marketingvezetők,1415,Értékesítési és marketingtevékenységet folytató egység vezetője
1222,Reklám- és PR-vezetők,1416,"Reklám-, PR- és egyéb kommunikációs tevékenységet folytató egység vezetője"
1223,Kutatási és fejlesztési vezetők,1413,Kutatási és fejlesztési tevékenységet folytató egység vezetője
1311,Mezőgazdasági és erdőgazdálkodási termelési vezetők,1311,"Mezőgazdasági, erdészeti, halászati és vadászati tevékenységet folytató egység vezetője"
1312,Halgazdálkodási és halászati termelési vezetők,1311,"Mezőgazdasági, erdészeti, halászati és vadászati tevékenységet folytató egység vezetője"
1321,Feldolgozóipari vezetők,1312,Ipari tevékenységet folytató egység vezetője
1322,Bányászati vezetők,1312,Ipari tevékenységet folytató egység vezetője
1323,Építési vezetők,1313,Építőipari tevékenységet folytató egység vezetője
1324,"Beszerzési, elosztási értékesítési és hasonló vezetők",1321,"Szállítási, logisztikai és raktározási tevékenységet folytató egység vezetője"
1330,Információs és kommunikációs technológiai szolgáltatások vezetői,1322,Informatikai és telekommunikációs tevékenységet folytató egység vezetője
1341,Gyermekgondozási szolgáltatások vezetői,1325,Gyermekgondozási tevékenységet folytató egység vezetője
1342,Egészségügyi szolgáltatások vezetői,1327,Egészségügyi tevékenységet folytató egység vezetője
1343,Idősgondozási szolgáltatások vezetői,1326,Idősgondozási tevékenységet folytató egység vezetője
1344,Szociális szolgáltatások vezetői,1324,Szociális tevékenységet folytató egység vezetője
1345,Oktatási vezetők,1328,Oktatási-nevelési tevékenységet folytató egység vezetője
